,ID,day_tomoe,theta,distance,az1[deg]_sensor,el1[deg]_sensor,az2[deg]_sensor,el2[deg]_sensor,az3[deg]_sensor,el3[deg]_sensor,az4[deg]_sensor,el4[deg]_sensor
77,582325_096,18,1.364672087,0.048755719,236.5066312,29.04935451,236.2191548,28.775709,235.6625344,29.22102226,235.9491016,29.49567675
78,582332_030,18,2.005613953,0.017145097,235.579359,26.54865175,235.3020746,26.27257405,234.7529229,26.71224909,235.0294981,26.98947201
79,582412_092,18,0.618430076,0.123152593,233.9838729,27.81224099,233.706578,27.53369333,233.1461377,27.9676314,233.4224758,28.24759251
80,582422_091,18,0.251419357,0.127090774,234.8942611,27.09117302,234.6159235,26.81470011,234.0641302,27.25552579,234.3429277,27.53199053
81,582521_118,18,0.314234261,0.122693018,234.5102116,26.32099996,234.2347987,26.04381245,233.6848609,26.4815791,233.9603954,26.75960671
82,582542_119,18,0.790771348,0.109613102,236.8947108,25.46208923,236.6164163,25.18755287,236.0769765,25.63131326,236.3536813,25.90678414
83,582612_108,18,0.632693608,0.119223407,234.4218291,27.4663878,234.1442044,27.18864415,233.5871728,27.62556593,233.8645389,27.90432123
84,582715_090,18,1.344122913,0.02893148,236.4751529,29.07060674,236.1880568,28.79720301,235.6316341,29.24220685,235.9186715,29.51667619
85,582715_090,18,1.343333602,0.023027955,236.4751529,29.07060674,236.1880568,28.79720301,235.6316341,29.24220685,235.9186715,29.51667619
86,582715_091,18,2.417332766,0.015135662,236.4749295,29.07072223,236.187924,28.79715771,235.6313514,29.24221341,235.9185434,29.51660725
87,582715_091,18,2.416688704,0.009284442,236.4749295,29.07072223,236.187924,28.79715771,235.6313514,29.24221341,235.9185434,29.51660725
88,583113_081,18,1.571097887,0.087038728,234.8053159,28.24247793,234.525381,27.96469702,233.9648039,28.402292,234.2444982,28.68042535
89,584014_111,18,35.75615343,0.214627185,234.7900128,29.33118548,234.5069602,29.05393987,233.9409739,29.49050296,234.223317,29.7695166
90,584014_111,18,0.830845949,0.096125449,234.7900128,29.33118548,234.5069602,29.05393987,233.9409739,29.49050296,234.223317,29.7695166
91,584123_021,18,3.584167157,0.003909113,235.3172771,27.83640154,235.0372001,27.55999051,234.4810178,27.99924052,234.7615585,28.27720023
92,584133_021,18,3.242686204,0.045232169,236.2215387,27.11376497,235.9422184,26.83843212,235.3912138,27.28060196,235.6718088,27.55701922
93,584143_022,18,4.047708939,0.129774877,237.1115684,26.37837579,236.8304633,26.10477487,236.2884183,26.55208891,236.5690237,26.82606414
94,584315_111,18,0.603718408,0.140932264,236.0710272,29.3979527,235.78414,29.12348088,235.2233109,29.56612514,235.5095868,29.8418993
95,584315_111,18,54.71040383,0.299010409,236.0710272,29.3979527,235.78414,29.12348088,235.2233109,29.56612514,235.5095868,29.8418993
96,584324_067,18,1.801071272,0.104288167,236.3641152,28.07785563,236.0804456,27.80388589,235.527697,28.24770327,235.8114436,28.5229123
