Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(UT),M(UT),D(UT),H(UT),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180420_013707,0.8,0.250,13.532, CB4_35, 9.0,2018,04,19,16,37,7.600,33.8,30.9,204.583725,-16.077311,202.747208,-17.055344,140.834320,56.911293,1206750137,204029244,1374140508,579988137,1349792745,3,0.00899,0.08243, spo,0.0,-1.0,-1.0,-1.0,203.517456,-16.648321,49,2.14,0.00000,0.00000,-1.000,-1.000,1.000,59.940,11,-1
R05B25, spo,20180420_014259,3.6,0.083,13.317, CB4_35, 9.0,2018,04,19,16,42,59.050,55.7,21.8,184.250458,-11.834027,183.721252,-12.202714,110.281250,52.810738,2637677902,1439653936,1131542391,4102170490,1102669832,3,0.00674,0.00133, spo,0.0,-1.0,-1.0,-1.0,184.021530,-11.993760,43,0.36,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, J5_Lyr,20180420_015331,1.1,0.200,16.815, CB4_35, 9.0,2018,04,19,16,53,31.690,58.3,38.1,196.501297,1.534782,193.682831,-0.799250,104.647774,50.362381,1201578424,204029244,1374911344,590155709,1374410859,3,0.00990,0.00157, J5_Lyr,0.0,4.7,48.9,+2.0,194.994049,0.286842,62,1.34,0.00000,0.00000,-1.000,-1.000,1.000,59.940,15,-1
R05B25, spo,20180420_015912,3.2,0.083,2.748, CB4_35, 9.0,2018,04,19,16,59,12.970,30.9,28.4,211.281082,-19.472971,211.173782,-19.566786,141.037384,43.710533,2622854364,1439653936,1126890185,4222680745,1122328503,3,0.00563,0.00170, spo,0.0,-1.0,-1.0,-1.0,211.229050,-19.518486,45,0.39,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180420_020155,2.1,0.534,7.625, CB4_35, 9.0,2018,04,19,17,01,55.360,51.5,32.4,198.936142,-6.428965,197.459229,-10.367768,111.301468,20.116108,1200387484,204029244,1374735044,597846089,1350085230,3,0.00737,0.02779, spo,0.0,-1.0,-1.0,-1.0,198.071442,-8.745570,50,0.44,245.88133,64.96732,23.060,-1.000,1.000,59.940,25,-1
R05B25, spo,20180420_020252,-2.3,0.184,19.374, CB4_35, 9.0,2018,04,19,17,02,52.570,30.9,34.7,215.035721,-13.760235,211.032486,-14.552945,173.184433,71.801109,2622189527,1439653936,1126180878,4207192602,1131979030,3,0.00676,0.00401, spo,0.0,-1.0,-1.0,-1.0,213.124329,-14.147690,50,13.40,0.00000,0.00000,-1.000,-1.000,1.000,59.940,11,-1
R05B25, spo,20180420_020818,1.8,0.450,5.676, CB4_35, 9.0,2018,04,19,17,08,18.130,45.9,30.0,202.812286,-11.265112,203.166168,-13.604954,111.167145,-8.201696,1206112274,204029244,1374349393,578597588,1342713894,3,0.00788,0.03752, spo,0.0,-1.0,-1.0,-1.0,202.983414,-12.401927,52,1.95,181.51428,51.07625,18.070,-1.000,1.000,59.940,27,-1
R05B25, spo,20180420_021311,4.8,0.350,5.035, CB4_35, 9.0,2018,04,19,17,13,11.620,62.4,28.6,192.253586,-2.808509,190.226776,-2.645861,250.601685,84.659218,2646906323,1439653936,1124964526,4127429852,1121655520,3,0.00711,0.00186, spo,0.0,-1.0,-1.0,-1.0,191.673141,-2.762284,45,4.88,220.47063,-5.86388,34.310,-1.000,1.000,59.940,15,-1
R05B25, spo,20180420_021808,-0.6,0.384,14.728, CB4_35, 9.0,2018,04,19,17,18,8.740,35.9,37.4,216.477768,-9.472974,213.507935,-6.907508,295.716980,48.213554,1175595419,204029244,1372958150,552220008,1361354732,3,0.00790,0.02787, spo,0.0,-1.0,-1.0,-1.0,215.034454,-8.233033,45,4.93,0.00000,0.00000,-1.000,-1.000,1.000,59.940,19,-1
R05B25, spo,20180420_023356,4.4,0.284,3.926, CB4_35, 9.0,2018,04,19,17,33,56.190,44.4,40.1,216.210266,-3.729107,215.495697,-2.911090,302.961548,41.006287,2624607533,1439653936,1126330461,4204587145,1134472488,3,0.00767,0.00322, spo,0.0,-1.0,-1.0,-1.0,215.826050,-3.289498,48,1.34,0.00000,0.00000,-1.000,-1.000,1.000,59.940,11,-1
